id,citric_acid,residual_sugar,density,pH,alcohol
609,0.19,3.2,0.9956,3.56,12.7
610,0.54,2.5,0.9983,3.39,9.2
611,0.55,2.7,1.0006,2.98,9.4
612,0.0,2.4,0.9965,3.32,10.0
613,0.38,1.5,0.9962,3.26,9.8
614,0.18,2.2,0.9969,2.87,10.2
615,0.5,2.3,0.9997,3.5,9.7
616,0.5,2.3,0.9997,3.5,9.7
617,0.51,2.2,0.9982,3.03,9.8
618,0.5,2.7,1.0006,3.13,10.2
619,0.41,2.3,0.9988,3.09,9.3
620,0.24,3.4,0.9976,3.27,9.4
621,0.23,3.4,0.9976,3.28,9.4
622,0.22,1.9,0.9974,3.13,9.5
623,0.25,2.9,0.9974,3.49,12.1
624,0.0,5.6,0.9997,3.46,10.2
625,0.0,5.6,0.9997,3.46,10.2
626,0.29,2.2,0.9988,3.36,9.1
627,0.29,2.2,0.9988,3.36,9.1
628,0.26,2.5,0.9976,3.27,9.3
629,0.23,2.3,0.9964,3.21,9.3
630,0.26,2.5,0.9976,3.27,9.3
631,0.54,2.7,0.9988,3.25,9.5
632,0.14,3.0,0.9964,3.32,10.5
633,0.22,3.4,1.001,3.43,11.3
634,0.21,1.9,0.9964,3.27,9.5
635,0.0,1.4,0.9954,3.27,9.7
636,0.28,2.4,0.9979,3.24,9.4
637,0.27,2.3,0.9978,3.24,9.4
638,0.12,2.2,0.9964,3.35,10.2
639,0.35,1.9,0.997,3.18,10.3
640,0.45,2.3,0.9991,3.39,9.4
641,0.44,2.3,0.9992,3.46,9.5
642,0.45,2.3,0.9991,3.39,9.4
643,0.44,2.3,0.9992,3.46,9.5
644,0.45,2.3,0.9991,3.39,9.4
645,0.1,6.0,0.9984,3.37,10.1
646,0.05,3.6,0.9972,3.4,10.1
647,0.01,2.2,0.9967,3.32,11.0
648,0.3,2.8,0.9964,3.33,11.2
649,0.27,8.6,0.9948,3.16,11.3
650,0.39,2.2,0.9986,2.89,9.6
651,0.25,2.5,1.001,3.41,11.2
652,0.65,7.5,0.9976,2.98,14.9
653,0.59,2.8,0.9976,3.12,12.0
654,0.47,2.4,0.9979,3.08,9.5
655,0.17,2.9,1.0004,3.14,9.4
656,0.39,2.2,0.9986,2.89,9.6
657,0.59,1.4,0.998,2.92,10.5
658,0.07,1.4,0.9973,3.32,9.6
659,0.02,4.4,0.997,3.41,11.0
660,0.07,1.4,0.9973,3.32,9.6
661,0.31,1.6,0.9978,3.31,9.0
662,0.06,1.6,0.9972,3.36,9.6
663,0.46,1.8,0.9974,3.04,10.2
664,0.52,2.0,1.0,3.03,10.2
665,0.14,2.0,0.9981,3.14,9.7
666,0.36,1.8,0.998,3.18,9.5
667,0.45,2.0,0.9988,2.94,9.2
668,0.43,2.3,0.9966,3.15,11.0
669,0.45,2.0,0.9988,2.94,9.2
670,0.24,2.5,0.9959,3.26,10.0
671,0.21,1.7,0.9968,3.2,9.5
672,0.34,2.0,0.998,3.15,9.5
673,0.21,1.7,0.9968,3.2,9.5
674,0.41,2.2,0.9984,3.08,9.3
675,0.39,2.2,0.9984,3.26,10.2
676,0.41,2.2,0.9984,3.08,9.3
677,0.11,2.3,0.9979,3.4,9.9
678,0.1,2.6,0.9983,3.48,10.0
679,0.45,3.3,0.9972,3.13,9.6
680,0.58,1.9,1.0004,3.06,9.0
681,0.23,2.2,0.9962,3.21,10.2
682,0.31,2.25,0.998,3.33,9.8
683,0.23,2.6,0.997,3.37,11.3
684,0.32,2.3,0.998,3.25,9.4
685,0.23,2.6,0.997,3.37,11.3
686,0.18,1.8,0.997,3.44,9.1
687,0.23,3.1,0.9998,3.28,9.7
688,0.04,1.6,0.9962,3.4,9.4
689,0.48,1.8,0.9976,3.3,9.4
690,0.0,4.25,0.9966,3.63,10.7
691,0.24,2.6,0.9998,3.48,9.8
692,0.51,2.0,0.9979,3.03,9.0
693,0.32,2.8,0.9984,3.32,9.4
694,0.31,2.7,0.9984,3.31,9.4
695,0.02,1.3,0.9921,3.9,12.8
696,0.02,2.1,0.9972,3.47,9.5
697,0.02,2.1,0.9972,3.47,9.5
698,0.28,3.2,1.0001,3.31,9.7
699,0.55,2.1,0.9986,3.11,10.8
700,0.43,2.9,0.9984,3.08,10.1
701,0.02,2.1,0.9972,3.47,9.5
702,0.02,2.1,0.997,3.47,9.4
703,0.48,2.6,0.9972,3.32,9.6
704,0.04,1.6,0.998,3.29,9.7
705,0.15,6.0,0.999,3.37,9.9
706,0.08,2.0,0.9956,3.4,10.0
707,0.19,3.0,0.9966,3.37,10.5
708,0.12,2.5,0.996,3.34,11.6
709,0.47,1.6,0.9983,3.27,10.0
710,0.43,2.8,0.9985,3.06,10.1
711,0.34,3.0,0.9998,3.38,9.5
712,0.0,3.2,0.9992,3.36,9.4
713,0.36,2.3,0.9976,3.34,9.4
714,0.28,2.6,0.998,3.28,9.8
715,0.18,2.7,0.9967,3.29,9.2
716,0.36,2.3,0.9976,3.34,9.4
717,0.11,2.6,0.9968,3.21,10.0
718,0.04,2.0,0.9976,3.22,9.6
719,0.0,3.9,0.9976,3.46,9.5
720,0.04,2.0,0.9976,3.22,9.6
721,0.24,2.85,0.9982,3.1,9.2
722,0.08,2.7,0.9968,3.21,10.0
723,0.0,0.0,0.0,0.0,0.0
724,0.1,3.1,0.9958,3.54,11.2
725,0.17,3.0,0.9976,3.29,10.4
726,0.09,2.8,0.9994,3.43,11.1
727,0.02,1.8,0.997,3.46,9.5
728,0.02,1.8,0.997,3.46,9.5
729,0.03,3.2,0.995,3.61,12.7
730,0.66,2.3,0.9982,3.17,9.6
731,0.13,3.45,0.9994,3.44,11.5
732,0.03,2.1,0.9966,3.39,9.6
733,0.34,2.7,0.998,3.55,9.5
734,0.2,2.0,0.9987,3.48,9.3
735,0.1,2.1,0.9963,3.26,9.5
736,0.1,2.1,0.9963,3.26,9.5
737,0.0,2.5,1.0002,3.5,9.3
738,0.23,2.8,0.9983,3.1,9.2
